State,Time,Device,Unit
43.14,18:07:55,voltage_sensor,V
43.11,18:08:28,voltage_sensor,V
43.07,18:08:49,voltage_sensor,V
43.07,18:09:10,voltage_sensor,V
42.98,18:10:31,voltage_sensor,V
42.98,18:10:53,voltage_sensor,V
42.9,18:11:15,voltage_sensor,V
42.9,18:11:37,voltage_sensor,V
42.75,18:12:10,voltage_sensor,V
42.68,18:12:32,voltage_sensor,V
42.68,18:12:54,voltage_sensor,V
42.58,18:13:27,voltage_sensor,V
42.53,18:13:49,voltage_sensor,V
42.51,18:14:11,voltage_sensor,V
42.45,18:14:33,voltage_sensor,V
42.38,18:15:06,voltage_sensor,V
42.32,18:15:28,voltage_sensor,V
42.28,18:15:50,voltage_sensor,V
42.21,18:16:22,voltage_sensor,V
42.13,18:16:44,voltage_sensor,V
42.06,18:17:06,voltage_sensor,V
42.0,18:17:28,voltage_sensor,V
41.91,18:18:00,voltage_sensor,V
41.85,18:18:21,voltage_sensor,V
41.76,18:18:43,voltage_sensor,V
41.67,18:19:16,voltage_sensor,V
41.61,18:19:38,voltage_sensor,V
41.5,18:19:59,voltage_sensor,V
41.35,18:20:32,voltage_sensor,V
41.28,18:20:54,voltage_sensor,V
41.18,18:21:16,voltage_sensor,V
41.09,18:21:37,voltage_sensor,V
40.94,18:22:10,voltage_sensor,V
40.75,18:22:32,voltage_sensor,V
40.62,18:22:54,voltage_sensor,V
40.43,18:23:26,voltage_sensor,V
40.28,18:23:48,voltage_sensor,V
40.11,18:24:10,voltage_sensor,V
39.91,18:24:32,voltage_sensor,V
39.7,18:25:05,voltage_sensor,V
39.44,18:25:27,voltage_sensor,V
39.1,18:25:49,voltage_sensor,V
38.69,18:26:21,voltage_sensor,V
38.22,18:26:42,voltage_sensor,V
37.44,18:27:05,voltage_sensor,V
34.67,18:27:36,voltage_sensor,V
32.12,18:27:58,voltage_sensor,V
31.77,18:28:20,voltage_sensor,V
31.73,18:28:41,voltage_sensor,V
31.64,18:29:14,voltage_sensor,V
31.64,18:29:36,voltage_sensor,V
34.52,18:29:58,voltage_sensor,V
34.52,18:30:31,voltage_sensor,V
34.52,18:30:53,voltage_sensor,V
34.52,18:31:15,voltage_sensor,V
33.62,18:31:37,voltage_sensor,V
33.62,18:32:09,voltage_sensor,V
33.75,18:32:31,voltage_sensor,V
33.75,18:32:53,voltage_sensor,V
33.75,18:33:25,voltage_sensor,V
33.95,18:33:47,voltage_sensor,V
35.07,18:34:09,voltage_sensor,V
35.07,18:34:41,voltage_sensor,V
33.13,18:35:03,voltage_sensor,V
33.13,18:35:25,voltage_sensor,V
33.13,18:35:47,voltage_sensor,V
33.06,18:36:19,voltage_sensor,V
32.8,18:36:41,voltage_sensor,V
32.8,18:37:02,voltage_sensor,V
32.8,18:37:35,voltage_sensor,V
32.8,18:37:57,voltage_sensor,V
33.42,18:38:19,voltage_sensor,V
33.42,18:38:52,voltage_sensor,V
31.15,18:39:14,voltage_sensor,V
31.15,18:39:35,voltage_sensor,V
32.53,18:39:57,voltage_sensor,V
32.53,18:40:29,voltage_sensor,V
38.0,18:40:49,voltage_sensor,V
38.5,18:41:22,voltage_sensor,V
38.5,18:41:44,voltage_sensor,V
38.01,18:42:06,voltage_sensor,V
37.7,18:42:28,voltage_sensor,V
37.7,18:43:01,voltage_sensor,V
37.7,18:43:22,voltage_sensor,V
35.76,18:43:44,voltage_sensor,V
35.76,18:44:17,voltage_sensor,V
30.67,18:44:38,voltage_sensor,V
30.67,18:45:00,voltage_sensor,V
31.39,18:45:32,voltage_sensor,V
31.39,18:45:54,voltage_sensor,V
30.98,18:46:15,voltage_sensor,V
30.98,18:46:36,voltage_sensor,V
31.06,18:47:08,voltage_sensor,V
